Name;Age;Nationality;Club;Value;Preferred Foot;Position;Jersey Number;BallControl;Acceleration;SprintSpeed;Agility;Aggression;Interceptions
D. Upamecano;19;France;RB Leipzig;€13M;Right;Defensa;5;64;73;85;61;81;75
Jefferson;29;Brazil;Sporting CP;€6.5M;Left;Lateral;5;74;77;74;74;79;70
W. Benítez;25;Argentina;OGC Nice;€8M;Right;Portero;40;14;48;48;43;28;21
E. Bardhi;22;FYR Macedonia;Levante UD;€12M;Right;Centrocampista;10;81;76;66;76;54;65
K. Mbodji;28;Senegal;FC Nantes;€7M;Right;Defensa;5;68;63;69;51;80;71
B. Sarr;26;France;Olympique de Marseille;€9M;Right;Lateral;17;77;82;83;76;78;76
F. Ferreyra;27;Argentina;SL Benfica;€10.5M;Right;Delantero;19;77;70;72;78;58;23
Danilo;34;Brazil;Bologna;€2.7M;Right;Defensa;23;60;49;53;46;78;83
A. Ayew;28;Ghana;Fenerbahçe SK;€9M;Left;Centrocampista;20;79;75;75;86;78;52
K. Mitroglou;30;Greece;Olympique de Marseille;€8.5M;Left;Delantero;11;72;53;62;47;75;10
P. Herrmann;27;Germany;Borussia Mönchengladbach;€9.5M;Right;Centrocampista;7;77;79;83;83;58;29
D. da Costa;24;Germany;Eintracht Frankfurt;€9M;Right;Centrocampista;24;74;77;84;68;72;73
V. Fischer;24;Denmark;FC København;€12M;Right;Centrocampista;15;79;80;83;82;68;34
Wesley;21;Brazil;Club Brugge KV;€13.5M;Right;Delantero;7;78;68;79;50;80;37
D. Ginczek;27;Germany;VfL Wolfsburg;€10.5M;Right;Delantero;33;73;66;84;54;80;29
F. Kosti?;25;Serbia;Eintracht Frankfurt;€10.5M;Left;Centrocampista;10;80;89;84;77;65;41
R. Fraser;24;Scotland;Bournemouth;€11.5M;Right;Centrocampista;11;75;90;87;94;65;45
Cote;28;Spain;SD Eibar;€7M;Left;Lateral;15;76;69;75;72;69;78
H. Winks;22;England;Tottenham Hotspur;€13M;Right;Centrocampista;17;80;75;70;73;58;69
K. Mbabu;23;Switzerland;BSC Young Boys;€10M;Right;Lateral;43;74;90;92;78;74;71
M. Hinteregger;25;Austria;FC Augsburg;€9.5M;Left;Defensa;4;62;63;73;62;82;76
L. Acosta;24;Argentina;DC United;€11M;Right;Centrocampista;10;78;87;78;91;69;36
Sidcley;25;Brazil;Dynamo Kyiv;€9M;Left;Centrocampista;17;75;78;83;82;67;80
M. Jørgensen;28;Denmark;Huddersfield Town;€8.5M;Right;Defensa;13;63;62;68;59;85;75
M. Fabián;28;Mexico;Eintracht Frankfurt;€9M;Right;Centrocampista;8;78;69;66;86;64;34
Carlos Eduardo;28;Brazil;Al Hilal;€9M;Right;Centrocampista;3;78;65;74;72;60;55
Rubén Castro;37;Spain;UD Las Palmas;€3.2M;Right;Delantero;7;78;77;73;85;50;37
L. Augustinsson;24;Sweden;SV Werder Bremen;€10M;Left;Lateral;6;74;77;79;76;68;73
S. Aziz;27;Turkey;Galatasaray SK;€8.5M;Right;Defensa;4;60;74;72;65;80;78
G. Ochoa;32;Mexico;Standard de Liège;€5M;Right;Portero;13;18;47;50;65;19;23
P. Hetemaj;31;Finland;Chievo Verona;€7.5M;Right;Centrocampista;56;78;78;74;78;86;73
André André;28;Portugal;Vitória Guimarães;€9M;Right;Centrocampista;11;81;68;69;74;77;76
Vinícius Júnior;17;Brazil;Real Madrid;€17.5M;Right;Centrocampista;28;80;92;94;90;48;26
B. Džemaili;32;Switzerland;Bologna;€6.5M;Right;Centrocampista;31;78;59;65;68;78;69
Juanpe;27;Spain;Girona FC;€8.5M;Right;Defensa;15;70;41;63;32;79;75
K. Fortounis;25;Greece;Olympiacos CFP;€11M;Right;Centrocampista;10;78;73;77;78;63;32
M. Vorm;34;Netherlands;Tottenham Hotspur;€3.6M;Right;Portero;13;35;53;54;63;23;28
B. Oczipka;29;Germany;FC Schalke 04;€6.5M;Left;Centrocampista;24;74;66;76;65;76;74
R. Bentancur;21;Uruguay;Juventus;€15.5M;Right;Centrocampista;6;83;67;73;68;66;66
T. Hernández;20;France;Real Sociedad;€11M;Left;Lateral;19;72;90;90;76;75;69
M. Lowton;29;England;Burnley;€6.5M;Right;Lateral;2;77;74;70;69;76;76
I. Diop;21;France;West Ham United;€12M;Right;Defensa;23;60;64;68;46;77;78
B. André;27;France;Stade Rennais FC;€9M;Right;Centrocampista;21;76;68;73;73;75;73
C. Piccini;25;Italy;Valencia CF;€9M;Right;Lateral;21;74;74;76;63;74;78
Paulinho;25;Portugal;SC Braga;€11M;Left;Delantero;20;77;67;68;60;66;27
A. Diawara;20;Guinea;Napoli;€14M;Right;Centrocampista;42;80;68;70;78;82;77
Yuri Berchiche;28;Spain;Athletic Club de Bilbao;€7M;Left;Lateral;12;74;78;77;73;85;69
José Sá;25;Portugal;Olympiacos CFP;€8.5M;Right;Portero;93;20;42;48;50;20;18
F. Kamano;22;Guinea;FC Girondins de Bordeaux;€12M;Right;Centrocampista;11;75;90;89;79;59;24
F. Cartabia;25;Argentina;Deportivo de La Coruña;€11M;Left;Centrocampista;11;78;79;72;80;80;34
E. Ünal;21;Turkey;Real Valladolid CF;€12.5M;Right;Delantero;16;77;75;74;74;43;29
I. Radovanovi?;29;Serbia;Chievo Verona;€7M;Right;Centrocampista;8;75;50;67;58;79;79
Renan Ribeiro;28;Brazil;Sporting CP;€7M;Right;Portero;40;19;50;48;59;13;26
Jony;26;Spain;Deportivo Alavés;€9.5M;Left;Centrocampista;23;75;87;85;86;60;52
D. Buonanotte;30;Argentina;Universidad Católica;€8.5M;Left;Centrocampista;18;79;91;85;90;30;25
Tomás Pina;30;Spain;Deportivo Alavés;€8M;Right;Centrocampista;8;78;60;54;64;73;76
N. Pallois;30;France;FC Nantes;€6.5M;Left;Defensa;4;60;49;63;54;86;77
D. Latza;28;Germany;1. FSV Mainz 05;€9M;Right;Centrocampista;6;80;68;64;74;79;72
F. Belluschi;34;Argentina;San Lorenzo de Almagro;€4.5M;Right;Centrocampista;16;78;69;69;79;73;69
O. Abdulrahman;26;United Arab Emirates;Al Hilal;€10.5M;Left;Centrocampista;21;76;85;77;87;44;25
O. Trejo;30;Argentina;Rayo Vallecano;€8.5M;Right;Centrocampista;8;79;67;73;85;70;62
N. Barella;21;Italy;Cagliari;€15.5M;Right;Centrocampista;18;77;79;77;76;82;75
Angeliño;21;Spain;PSV;€10.5M;Left;Lateral;6;79;87;85;75;77;73
Vieirundinho;30;Brazil;Santos;€6.5M;Right;Defensa;3;64;63;59;56;82;76
F. Orellana;32;Chile;SD Eibar;€7M;Right;Centrocampista;14;80;77;71;79;54;31
F. Grillitsch;22;Austria;TSG 1899 Hoffenheim;€11.5M;Right;Centrocampista;20;81;55;55;68;49;73
C. Ortíz;29;Paraguay;Monterrey;€7M;Left;Centrocampista;16;75;68;68;73;72;82
Bruno Viana;23;Brazil;SC Braga;€10.5M;Right;Defensa;36;63;63;64;53;78;77
J. Maidana;32;Argentina;River Plate;€5M;Right;Defensa;2;63;48;52;58;84;73
R. Funes Mori;27;Argentina;Villarreal CF;€8.5M;Left;Defensa;13;70;61;68;65;83;76
D. Kohr;24;Germany;Bayer 04 Leverkusen;€10M;Right;Centrocampista;21;77;66;69;66;90;81
F. Higuaín;33;Argentina;Columbus Crew SC;€5.5M;Right;Centrocampista;10;77;69;57;71;65;43
A. Barák;23;Czech Republic;Udinese;€12.5M;Left;Centrocampista;72;80;66;68;63;58;64
F. Andone;25;Romania;Brighton & Hove Albion;€11.5M;Right;Delantero;10;74;76;73;76;86;51
Adrián;30;Spain;FC Porto;€8.5M;Right;Delantero;20;84;70;61;73;58;32
G. González;30;Costa Rica;Bologna;€6.5M;Right;Defensa;3;60;68;68;58;79;77
Otávio;24;Brazil;FC Girondins de Bordeaux;€10M;Right;Centrocampista;5;72;68;66;72;80;81
D. Janmaat;28;Netherlands;Watford;€7M;Right;Lateral;2;79;68;69;68;79;75
R. Funes Mori;27;Argentina;Monterrey;€10.5M;Right;Delantero;7;74;78;75;79;80;49
P. Schick;22;Czech Republic;Roma;€14M;Left;Delantero;10;80;74;73;83;59;22
Aleix Vidal;28;Spain;Sevilla FC;€7M;Right;Lateral;11;82;89;93;77;80;73
A. Schöpf;24;Austria;FC Schalke 04;€12M;Right;Centrocampista;18;79;78;77;78;60;59
W. Boly;27;France;Wolverhampton Wanderers;€9M;Right;Defensa;15;60;57;69;55;79;76
Alberto Moreno;25;Spain;Liverpool;€9M;Left;Lateral;18;79;85;87;84;83;72
C. Villanueva;32;Chile;Al Ittihad;€7M;Left;Centrocampista;10;77;63;62;89;40;42
M. Weiser;24;Germany;Bayer 04 Leverkusen;€10M;Right;Lateral;23;83;85;77;85;69;75
G. Escalante;25;Argentina;SD Eibar;€10M;Right;Centrocampista;5;72;71;72;66;85;78
M. Holgate;21;England;Everton;€9M;Right;Defensa;2;67;68;71;62;75;77
J. Hopf;31;Sweden;MKE Ankaragücü;€4.7M;Right;Portero;34;23;42;47;41;38;21
D. Zurutuza;31;France;Real Sociedad;€6.5M;Right;Centrocampista;17;77;63;59;71;72;78
Juanmi;25;Spain;Real Sociedad;€9.5M;Right;Centrocampista;7;79;77;77;78;57;23
K. Gibbs;28;England;West Bromwich Albion;€6M;Left;Centrocampista;3;75;78;80;76;72;75
F. Fernández;29;Argentina;Newcastle United;€6M;Right;Defensa;18;65;47;50;48;79;76
L. Kalini?;28;Croatia;KAA Gent;€6.5M;Left;Portero;91;15;30;39;26;39;23
N. Radoja;25;Serbia;RC Celta;€10M;Right;Centrocampista;6;73;52;38;57;74;77
N. Blandi;28;Argentina;San Lorenzo de Almagro;€8M;Right;Delantero;9;78;64;61;76;49;43
David Juncà;24;Spain;RC Celta;€8.5M;Left;Lateral;17;77;79;77;77;75;74
Wu Lei;26;China PR;Shanghai SIPG FC;€9M;Right;Centrocampista;7;75;88;86;79;65;23
Gabriel Boschilia;22;Brazil;FC Nantes;€10.5M;Left;Centrocampista;12;79;76;73;79;47;27
Iuri Medeiros;23;Portugal;Genoa;€10M;Left;Centrocampista;45;79;79;68;88;67;30
M. Phillips;27;Scotland;West Bromwich Albion;€8M;Right;Centrocampista;18;74;86;86;78;54;32
Iván Cuéllar;34;Spain;CD Leganés;€3.1M;Left;Portero;1;13;59;43;57;28;18
J. Lössl;29;Denmark;Huddersfield Town;€5M;Right;Portero;16;19;29;34;32;17;20
Mario Suárez;31;Spain;Guizhou Hengfeng FC;€6.5M;Right;Centrocampista;26;79;42;58;54;73;78
W. Bony;29;Ivory Coast;Swansea City;€7.5M;Right;Delantero;2;76;51;50;42;75;38
S. Doumbia;30;Ivory Coast;Girona FC;€7.5M;Right;Delantero;22;73;87;89;70;60;29
D. Reyes;25;Mexico;Fenerbahçe SK;€8.5M;Right;Defensa;5;74;63;65;68;64;79
Bernat;25;Spain;Paris Saint-Germain;€7.5M;Left;Lateral;14;83;79;78;86;68;73
V. Behrami;33;Switzerland;Udinese;€3.1M;Right;Centrocampista;11;74;67;67;70;90;74
S. Langkamp;30;Germany;SV Werder Bremen;€5.5M;Right;Defensa;15;47;51;55;51;73;68
J. Sosa;33;Argentina;Trabzonspor;€4.5M;Right;Centrocampista;8;82;67;72;74;69;60
A. Touré;24;France;FC Nantes;€8M;Right;Centrocampista;19;75;56;42;38;73;77
Jesé;25;Spain;Paris Saint-Germain;€9.5M;Right;Centrocampista;22;80;85;79;85;29;33
D. Ings;25;England;Southampton;€9.5M;Right;Delantero;9;76;79;76;74;60;39
M. Esser;30;Germany;Hannover 96;€4.9M;Right;Portero;23;17;32;48;30;40;30
F. Acheampong;24;Ghana;Tianjin TEDA FC;€10.5M;Left;Delantero;7;74;92;94;93;66;45
R. Knoche;26;Germany;VfL Wolfsburg;€8M;Right;Defensa;31;57;50;46;52;68;79
O. Vlachodimos;24;Greece;SL Benfica;€8M;Right;Portero;99;23;42;44;60;32;23
J. Denayer;23;Belgium;Olympique Lyonnais;€9.5M;Right;Defensa;5;69;69;71;66;71;76
S. Rode;27;Germany;Borussia Dortmund;€7.5M;Right;Centrocampista;18;72;69;64;70;83;79
Wendel;20;Brazil;Sporting CP;€12.5M;Right;Centrocampista;37;78;76;80;78;68;74
A. Nagy;23;Hungary;Bologna;€9.5M;Right;Centrocampista;8;80;73;73;82;65;75
Alfa Semedo;20;Guinea Bissau;SL Benfica;€10.5M;Right;Centrocampista;16;73;68;69;54;81;74
A. Barnes;28;Austria;Burnley;€8M;Right;Delantero;10;77;64;60;68;87;41
Alan Kardec;29;Brazil;Chongqing Dangdai Lifan FC SWM Team;€7.5M;Right;Delantero;27;73;73;70;68;53;33
Marcelo;28;Brazil;Sporting CP;€6M;Right;Defensa;2;55;66;64;64;73;79
E. Boateng;22;Ghana;Levante UD;€10.5M;Right;Delantero;21;76;89;88;89;64;37
Dalbert;24;Brazil;Inter;€8.5M;Left;Lateral;29;75;91;91;83;74;68
A. Halilovi?;22;Croatia;Milan;€11M;Left;Centrocampista;77;81;78;74;78;40;54
I. Popov;30;Bulgaria;Spartak Moscow;€7.5M;Right;Delantero;10;79;80;73;75;73;49
T. Cleverley;28;England;Watford;€7.5M;Right;Centrocampista;8;74;63;69;69;71;65
M. Livaja;24;Croatia;AEK Athens;€10M;Right;Centrocampista;10;79;72;76;62;88;25
M. Uribe;27;Colombia;Club América;€8.5M;Right;Centrocampista;8;77;76;74;70;72;70
P. Bargfrede;29;Germany;SV Werder Bremen;€6M;Right;Centrocampista;44;73;61;54;74;86;77
J. Jankto;22;Czech Republic;Sampdoria;€11.5M;Left;Centrocampista;14;78;79;79;76;68;64
Junior Firpo;21;Spain;Real Betis;€8.5M;Left;Centrocampista;20;77;81;80;63;55;74
D. D'Ambrosio;29;Italy;Inter;€6M;Right;Lateral;33;72;72;72;74;77;75
D. Boyko;30;Ukraine;Dynamo Kyiv;€4.9M;Right;Portero;71;22;49;48;58;38;12
M. Díaz;31;Chile;Racing Club;€5M;Right;Centrocampista;21;75;63;51;75;80;75
S. Vokes;28;Wales;Burnley;€8M;Right;Delantero;9;76;50;55;50;80;42
Héldon;29;Cape Verde;Al Taawoun;€7.5M;Right;Centrocampista;20;76;86;84;83;46;31
Mario Hermoso;23;Spain;RCD Espanyol;€10M;Left;Defensa;22;72;78;88;78;76;76
F. Bartels;31;Germany;SV Werder Bremen;€7M;Right;Centrocampista;22;80;79;76;78;55;53
K. Malcuit;26;France;Napoli;€7.5M;Right;Lateral;2;75;80;87;76;77;71
R. Marin;22;Romania;Standard de Liège;€10.5M;Right;Centrocampista;5;74;66;68;73;66;70
Ayoze Pérez;24;Spain;Newcastle United;€10.5M;Right;Delantero;17;78;77;75;83;70;35
Júnior Moraes;31;Brazil;Shakhtar Donetsk;€7M;Right;Delantero;10;74;74;76;68;46;41
V. Berisha;25;Kosovo;Lazio;€9.5M;Right;Centrocampista;7;78;83;79;84;81;56
R. Freuler;26;Switzerland;Atalanta;€9M;Right;Centrocampista;8;76;69;69;71;60;72
Ganso;28;Brazil;Amiens SC;€8M;Left;Centrocampista;8;83;36;34;68;56;47
Vicente Gómez;29;Spain;Deportivo de La Coruña;€7.5M;Left;Centrocampista;8;77;35;35;62;65;75
M. Pašali?;23;Croatia;Atalanta;€10.5M;Right;Centrocampista;88;79;60;66;69;76;72
Vitor Hugo;27;Brazil;Fiorentina;€7.5M;Left;Defensa;31;49;66;69;43;80;76
B. Fornaroli;30;Uruguay;Melbourne City FC;€7.5M;Right;Delantero;23;76;78;74;78;65;36
R. Snodgrass;30;Scotland;West Ham United;€7.5M;Left;Centrocampista;11;80;61;65;72;82;46
Francisco Geraldes;23;Portugal;Eintracht Frankfurt;€11M;Right;Centrocampista;18;82;78;75;86;57;29
I. Ordets;25;Ukraine;Shakhtar Donetsk;€8.5M;Right;Defensa;18;61;61;69;48;70;76
D. Santon;27;Italy;Roma;€6.5M;Right;Lateral;18;75;67;74;66;72;76
M. Niang;23;Senegal;Stade Rennais FC;€10.5M;Right;Centrocampista;11;80;85;91;82;50;30
O. Wendt;32;Sweden;Borussia Mönchengladbach;€4.3M;Left;Lateral;17;77;75;76;72;69;74
F. Benkovi?;20;Croatia;Celtic;€10.5M;Right;Defensa;32;58;61;66;50;82;75
M. Torres;33;Colombia;Deportivo Cali;€4.7M;Right;Centrocampista;10;80;55;53;85;62;52
M. Noble;31;England;West Ham United;€6.5M;Right;Centrocampista;16;76;42;45;62;85;73
M. Rashica;22;Kosovo;SV Werder Bremen;€11M;Right;Centrocampista;11;77;93;86;90;67;26
C. Benteke;27;Belgium;Crystal Palace;€8M;Right;Delantero;17;74;59;68;66;56;29
Rômulo;31;Italy;Genoa;€6.5M;Right;Centrocampista;8;77;74;74;77;70;74
D. Pabón;30;Colombia;Monterrey;€7.5M;Right;Centrocampista;8;73;86;84;81;74;44
Embarba;26;Spain;Rayo Vallecano;€9M;Right;Centrocampista;11;72;76;79;79;56;49
C. Kerbrat;31;France;En Avant de Guingamp;€5M;Right;Defensa;29;70;59;66;60;75;78
L. Teodorczyk;27;Poland;Udinese;€9M;Right;Delantero;91;70;66;74;61;77;24
Alexo Baia;30;Brazil;Cruzeiro;€5.5M;Right;Lateral;2;71;74;77;81;81;71
David Seijalbo;34;Brazil;Cruzeiro;€2.3M;Left;Centrocampista;6;70;58;70;77;83;70
N. Nández;22;Uruguay;Boca Juniors;€11.5M;Right;Centrocampista;15;76;78;78;81;83;78
L. Rupp;27;Germany;TSG 1899 Hoffenheim;€8M;Right;Centrocampista;7;79;70;67;77;63;64
Jordi Amat;26;Spain;Rayo Vallecano;€8.5M;Right;Defensa;16;65;61;69;59;82;71
W. Caballero;36;Argentina;Chelsea;€1M;Right;Portero;13;30;43;46;39;30;19
F. Di Francesco;24;Italy;Sassuolo;€10M;Right;Centrocampista;34;82;82;83;79;42;34
O. El Kaddouri;27;Morocco;PAOK;€8M;Right;Centrocampista;7;80;73;75;72;56;61
T. Rogi?;25;Australia;Celtic;€9.5M;Left;Centrocampista;23;82;74;66;74;48;38
G. Töre;26;Turkey;Be?ikta? JK;€9M;Left;Centrocampista;55;80;82;84;82;78;43
M. Destro;27;Italy;Bologna;€8M;Right;Delantero;22;76;73;73;73;60;20
Josué;27;Portugal;Akhisar Belediyespor;€8M;Left;Centrocampista;27;77;66;70;77;80;54
A. Bizzarri;40;Argentina;Foggia;€525K;Right;Portero;1;23;55;45;53;40;19
Ki Sung Yueng;29;Korea Republic;Newcastle United;€7.5M;Right;Centrocampista;4;80;60;61;67;68;54
H. Onyekuru;21;Nigeria;Galatasaray SK;€12.5M;Right;Delantero;21;76;90;90;91;53;18
N. Pépé;23;Ivory Coast;LOSC Lille;€11.5M;Left;Centrocampista;19;78;90;87;90;43;25
Matheus Pereira;22;Brazil;1. FC Nürnberg;€11M;Left;Centrocampista;27;79;79;79;83;61;39
Y. Salibur;27;France;AS Saint-Étienne;€8M;Left;Centrocampista;19;76;90;85;82;46;48
E. Vargas;28;Chile;Tigres U.A.N.L.;€8M;Right;Centrocampista;9;78;84;76;86;60;25
L. Magallán;24;Argentina;Boca Juniors;€9.5M;Right;Defensa;6;62;60;63;65;70;79
Danny;34;Portugal;Clube Sport Marítimo;€3.9M;Right;Centrocampista;10;82;64;63;76;73;43
C. Hérelle;25;France;OGC Nice;€8.5M;Right;Defensa;29;66;62;66;62;71;77
E. Mangala;27;France;Manchester City;€7.5M;Left;Defensa;15;50;59;67;62;89;71
O. Selnæs;23;Norway;AS Saint-Étienne;€8.5M;Left;Centrocampista;17;76;67;66;70;71;76
Víctor Vázquez;31;Spain;Toronto FC;€6.5M;Right;Centrocampista;7;80;53;50;60;55;55
Diego Mariño;28;Spain;Real Sporting de Gijón;€6M;Right;Portero;13;19;47;53;68;24;22
Carles Planas;27;Spain;Girona FC;€7M;Left;Lateral;21;75;69;75;71;73;75
G. Fernández;26;Argentina;Racing Club;€9M;Right;Centrocampista;8;76;77;73;75;61;54
Soldado;33;Spain;Fenerbahçe SK;€4.8M;Right;Delantero;9;76;56;60;65;73;41
A. Ekdal;28;Sweden;Sampdoria;€7.5M;Right;Centrocampista;8;79;54;52;61;83;70
Gedson Fernandes;19;Portugal;SL Benfica;€12M;Right;Centrocampista;83;77;81;78;79;77;68
M. Darmian;28;Italy;Manchester United;€6M;Right;Lateral;36;75;73;73;77;74;77
N. Chalobah;23;England;Watford;€8.5M;Right;Centrocampista;14;78;62;69;71;74;72
R. Pizarro;24;Mexico;Monterrey;€10.5M;Right;Centrocampista;20;77;81;82;82;50;65
André Simões;28;Portugal;AEK Athens;€7.5M;Right;Centrocampista;8;77;77;82;75;61;70
S. Tshabalala;33;South Africa;BB Erzurumspor;€4.7M;Left;Centrocampista;33;76;78;77;80;49;37
L. Rossettini;33;Italy;Chievo Verona;€3.1M;Right;Defensa;15;54;59;55;58;76;76
F. Viviani;26;Italy;SPAL;€9.5M;Right;Centrocampista;77;78;71;69;76;60;70
M. de Roon;27;Netherlands;Atalanta;€8M;Right;Centrocampista;18;74;68;68;62;79;81
Rubén Duarte;22;Spain;Deportivo Alavés;€8.5M;Left;Lateral;3;73;71;72;66;70;69
Y. ?sako;28;Japan;SV Werder Bremen;€8M;Right;Delantero;8;76;77;76;78;65;31
Gil;31;Brazil;Shandong Luneng TaiShan FC;€5M;Right;Defensa;4;60;55;49;40;81;78
A. Ruiz;24;Argentina;Club Atlético Colón;€10M;Left;Delantero;10;81;61;58;74;59;30
P. van Aanholt;27;Netherlands;Crystal Palace;€6.5M;Left;Lateral;21;76;88;89;78;75;69
S. Meïté;24;France;Torino;€8M;Right;Centrocampista;23;78;67;67;67;77;73
K. Dolberg;20;Denmark;Ajax;€12M;Right;Delantero;12;78;72;77;75;38;21
Juli Freitinho;30;Brazil;Bahia;€5.5M;Right;Defensa;3;63;41;51;32;82;66
L. Vietto;24;Argentina;Fulham;€10M;Right;Delantero;19;82;79;76;76;63;35
A. Izzo;26;Italy;Torino;€8.5M;Right;Defensa;5;67;68;68;65;78;78
A. Paloschi;28;Italy;SPAL;€8M;Right;Delantero;43;76;77;69;78;83;21
G. Gönül;33;Turkey;Be?ikta? JK;€3M;Right;Lateral;77;75;76;78;78;74;75
Llorente;33;Spain;Tottenham Hotspur;€4.8M;Right;Delantero;18;80;29;32;33;71;25
J. Morel;34;Madagascar;Olympique Lyonnais;€2.3M;Left;Defensa;15;65;69;70;65;82;75
G. Kakuta;27;DR Congo;Rayo Vallecano;€8M;Left;Centrocampista;10;80;83;75;86;42;46
João Pedro;26;Brazil;Cagliari;€9.5M;Right;Delantero;10;75;75;76;73;76;42
S. García;29;Argentina;Deportivo Toluca;€6M;Left;Lateral;3;67;34;70;54;88;75
Eltildo Correia;26;Brazil;Atlético Mineiro;€6.5M;Right;Defensa;3;55;52;63;38;80;72
Kenedy;22;Brazil;Newcastle United;€11.5M;Left;Centrocampista;15;78;79;80;83;42;56
M. Moralez;31;Argentina;New York City FC;€7M;Right;Centrocampista;10;76;84;68;83;65;45
N. Vuk?evi?;26;Montenegro;Levante UD;€8M;Left;Centrocampista;17;74;64;56;61;85;80
F. Borini;27;Italy;Milan;€8M;Right;Centrocampista;11;79;77;75;78;72;30
I. Sarr;20;Senegal;Stade Rennais FC;€13.5M;Right;Centrocampista;7;77;94;93;79;53;17
C. Clark;28;Republic of Ireland;Newcastle United;€7M;Left;Defensa;2;58;52;59;54;82;75
Mata;29;Spain;Getafe CF;€7.5M;Right;Delantero;7;72;72;76;66;73;19
M. Albrighton;28;England;Leicester City;€8M;Right;Centrocampista;11;77;77;73;75;73;56
A. Gray;27;England;Watford;€9M;Right;Delantero;18;72;87;87;75;70;33
F. Guarín;32;Colombia;Shanghai Greenland Shenhua FC;€6M;Right;Centrocampista;13;78;68;63;65;77;68
Yoel;29;Spain;Real Valladolid CF;€5M;Right;Portero;13;14;35;43;40;35;19
J. Cuadrado;33;Colombia;Once Caldas;€3.9M;Right;Portero;12;31;42;50;62;24;24
S. Widmer;25;Switzerland;FC Basel 1893;€7.5M;Right;Lateral;5;76;77;82;76;66;70
P. Mantalos;26;Greece;AEK Athens;€9M;Right;Centrocampista;20;80;74;72;78;63;50
S. Proto;35;Belgium;Lazio;€1.8M;Right;Portero;24;32;48;46;58;28;23
A. Mehmedi;27;Switzerland;VfL Wolfsburg;€8M;Right;Centrocampista;14;77;74;72;77;68;42
Pablo;27;Brazil;FC Girondins de Bordeaux;€7.5M;Right;Defensa;25;59;54;65;69;81;78
I. Slimani;30;Algeria;Fenerbahçe SK;€7.5M;Right;Delantero;31;71;53;58;58;86;50
C. Erkin;29;Turkey;Be?ikta? JK;€6M;Left;Lateral;88;79;78;79;77;88;70
D. Chygrynskyi;31;Ukraine;AEK Athens;€5M;Right;Defensa;19;58;48;52;40;76;74
Beto;36;Portugal;Göztepe SK;€1M;Right;Portero;22;18;47;34;69;29;12
A. Samaris;29;Greece;SL Benfica;€6M;Right;Centrocampista;22;74;59;58;56;92;79
G. Lapadula;28;Italy;Genoa;€8M;Left;Delantero;10;77;79;78;85;78;19
Dênildo Stein;30;Brazil;Cruzeiro;€7.5M;Left;Delantero;11;75;73;78;62;57;34
S. Padt;28;Netherlands;FC Groningen;€6.5M;Right;Portero;1;33;41;35;31;26;13
S. Taïder;26;Algeria;Montreal Impact;€8M;Right;Centrocampista;8;77;73;76;74;81;67
F. Klaus;25;Germany;VfL Wolfsburg;€9M;Right;Centrocampista;11;76;85;79;76;63;34
H. Nordtveit;28;Norway;TSG 1899 Hoffenheim;€7M;Right;Defensa;6;71;48;62;61;77;74
L. Zuffi;28;Switzerland;FC Basel 1893;€7M;Left;Centrocampista;7;77;67;66;73;63;72
Emilio Piodão;26;Brazil;Bahia;€6.5M;Right;Centrocampista;6;73;77;72;74;81;76
S. Zuber;26;Switzerland;TSG 1899 Hoffenheim;€7.5M;Right;Centrocampista;14;77;78;79;74;72;76
J. Palomino;28;Argentina;Atalanta;€7.5M;Left;Defensa;6;64;63;49;46;78;78
Y. Mut?;25;Japan;Newcastle United;€10M;Right;Delantero;13;77;78;77;74;50;39
J. Altidore;28;United States;Toronto FC;€8M;Right;Delantero;17;70;68;73;63;80;32
M. Barbosa;33;Argentina;Villarreal CF;€3.9M;Right;Portero;25;17;42;43;48;37;22
G. Laborde;24;France;Montpellier HSC;€10.5M;Left;Delantero;10;73;69;69;73;72;17
P. Baysse;30;France;Stade Malherbe Caen;€5.5M;Right;Defensa;2;65;55;66;61;75;74
Eric Botteghin;30;Brazil;Feyenoord;€5.5M;Right;Defensa;33;60;35;33;33;76;76
Iván Alejo;23;Spain;Getafe CF;€10.5M;Right;Centrocampista;23;77;73;86;74;45;39
S. Blanco;30;Argentina;Portland Timbers;€7.5M;Right;Delantero;10;77;76;78;87;79;33
Thiago Mendes;26;Brazil;LOSC Lille;€8M;Right;Centrocampista;23;75;74;82;78;77;75
D. Brosinski;29;Germany;1. FSV Mainz 05;€6M;Right;Lateral;18;71;84;79;75;72;70
